Parth_Priority,Claude_Priority,Location_Tier,Priority_Score,Action,Difficulty_Tier,Company,Role,Location,Competitiveness_Score,Resume_Match_Score,Cold_Email_Score,Recency_Score,Apply_Link,Date_Posted
73.0,71.0,2,59,Apply Soon,3,Tatari,Data Science BI – Intern,NYC,8,7,6,8,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8443709002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-01
73.0,71.0,2,59,Apply Soon,3,Visa,Data Science Intern - Multiple Teams,"Austin, TX",8,7,6,8,"=HYPERLINK(""https://jobs.smartrecruiters.com/Visa/744000111924225?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
73.0,71.0,2,59,Apply Soon,3,Leidos,Data Science Intern,"Arlington, VA",8,7,6,8,"=HYPERLINK(""https://leidos.wd5.myworkdayjobs.com/External/job/Arlington-VA/Data-Science-Intern_R-00177071?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
73.0,71.0,2,59,Apply Soon,3,Vertex Pharmaceuticals,Intern - Statistical Programming - AI,"Boston, MA",8,7,6,8,"=HYPERLINK(""https://vrtx.wd501.myworkdayjobs.com/vertex_careers/job/Boston-MA/Vertex-Summer-Intern-2026--Statistical-Programming---LLM-Agent-Development--TFL-Automation-_REQ-27214-2?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
72.5,72.0,1,54,Apply Soon,1,Intuitive Surgical,Machine Learning Intern,"Sunnyvale, CA",8,7,6,6,"=HYPERLINK(""https://jobs.smartrecruiters.com/Intuitive/744000110204725?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-20
72.5,72.0,1,54,Apply Soon,1,Intel,Software Engineering Intern - Bachelor’s,"5 locationsHillsboro, OR | Folsom, CA | Phoenix, AZ | Austin, TX | Santa Clara, CA",8,7,6,6,"=HYPERLINK(""https://intel.wd1.myworkdayjobs.com/en-us/external/job/US-Oregon-Hillsboro/Software-Engineering----Intern--Bachelor-s_JR0281131?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,2,Okta,Data Analyst Intern,SF,8,7,6,6,"=HYPERLINK(""https://www.okta.com/company/careers/opportunity/7561055?gh_jid=7561055&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,Multiply Labs,Software Engineering Intern,"San Francisco, CA",8,7,6,6,"=HYPERLINK(""https://jobs.lever.co/multiplylabs/8203fbb3-4d42-4f6a-ae64-f05c3dcf0e9b?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Multiply Labs,Robotics Software Intern,"San Francisco, CA",8,7,6,6,"=HYPERLINK(""https://jobs.lever.co/multiplylabs/acca98ab-c206-4f71-b7a5-6977e4828586?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Brex,Software Engineer Intern,SF,8,7,6,6,"=HYPERLINK(""https://www.brex.com/careers/8434389002?gh_jid=8434389002&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Robert Half,Software Engineer Marketing Web Applications Virtual Internship,"San Ramon, CA",8,7,6,6,"=HYPERLINK(""https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/SAN-RAMON/Software-Engineer-Marketing-Web-Applications-Virtual-Internship_JR-259605?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Elsevier,Software Engineer Intern,7 locationsNYC | Louisiana | Florida | Massachusetts | Georgia | Pennsylvania | North Carolina,8,7,6,6,"=HYPERLINK(""https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/Pennsylvania/Software-Engineer-Intern--LEARN-_R109539?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Sigma Computing,Software Engineering Intern,SF,8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/sigmacomputing/jobs/7639837003?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-23
72.5,72.0,1,54,Apply Soon,3,Zoox,AI Applications Development Intern,"San Mateo, CA",8,7,6,6,"=HYPERLINK(""https://jobs.lever.co/zoox/9935eecc-fca9-4f72-9ea8-85ebea928967/apply?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,ConductorOne,Software Engineering Intern,"Portland, OR | SF",8,7,6,6,"=HYPERLINK(""https://jobs.ashbyhq.com/conductorone/db5ebd0c-669f-45b9-8709-cf507f9b7b1f/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,Scopely,Software Engineer Intern - Pokemon GO,"Bellevue, WA | SF",8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/scopely/jobs/5126724008?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-20
72.5,72.0,1,66,Apply Soon,3,Barkback,Software Intern,"Santa Barbara, CA",4,7,6,6,"=HYPERLINK(""https://jobs.smartrecruiters.com/barkbackLlc/90864007?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,Sila Nanotechnologies,Software Intern - AI & Battery Informatics,"Alameda, CA",8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/silananotechnologies/jobs/7624654?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,Arcline,Agentic AI R&D Intern,"San Francisco, CA | Remote in USA",8,7,6,6,"=HYPERLINK(""https://www.eduarcline.us/careers/agentic-ai-rd-intern?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Flagship Pioneering,Machine Learning Intern/Co-op,"Cambridge, MA",8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/fspco-op012325/jobs/8427924002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Merck,Future Talent Program Intern - Data Science and Scientific Informatics,"Cambridge, MA | Linden, NJ",8,7,6,6,"=HYPERLINK(""https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Massachusetts---Cambridge-320-Bent-Street/XMLNAME-2026-Future-Talent-Program---Data-Science-and-Scientific-Informatics---Intern_R386152?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,G2,GTM AI Engineering Intern,"Chicago, IL",8,7,6,6,"=HYPERLINK(""https://jobs.ashbyhq.com/G2/c61dbaff-87e5-4481-82a7-0636e8aea415/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
72.5,72.0,1,54,Apply Soon,3,Western Digital,2026 Summer Intern - Data Engineering,"San Jose, CA",8,7,6,6,"=HYPERLINK(""https://jobs.smartrecruiters.com/WesternDigital/744000110544134?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-22
72.5,72.0,1,54,Apply Soon,3,Micron Technology,Intern – Design Verification - AI/ML Engineer,"San Jose, CA",8,7,6,6,"=HYPERLINK(""https://micron.wd1.myworkdayjobs.com/External/job/San-Jose-CA/Intern---Design-Verification--AI-ML-Engineer-_JR91773?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,Tatari,Data Science – Intern,NYC | LA | SF,8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8432060002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,Tatari,Data Science Analyst – Intern,NYC | LA | SF,8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8432038002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,Tatari,Data Science – Intern,SF | NYC | LA,8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8432058002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,Tatari,Data Science Analyst Intern,LA,8,7,6,6,"=HYPERLINK(""https://job-boards.greenhouse.io/tatari/jobs/8432039002?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,Handshake,AI/Machine Learning Engineer Intern,SF,8,7,6,6,"=HYPERLINK(""https://jobs.ashbyhq.com/handshake/eece422a-da6b-42e7-b694-3329e6ae4d6a/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,69,Apply Soon,3,1X,Data Analytics Intern,"Hayward, CA | San Carlos, CA",3,7,6,6,"=HYPERLINK(""https://1x.recruitee.com/o/data-analytics-intern?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,First American,Data Scientist Intern,"Orange, CA",8,7,6,6,"=HYPERLINK(""https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/Data-Scientist-Intern---REMOTE_R054627-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,Robert Half,Generative AI Engineer Virtual Internship,"San Ramon, CA",8,7,6,6,"=HYPERLINK(""https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/SAN-RAMON/Generative-AI-Engineer-Virtual-Internship_JR-259599?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,Western Digital,Intern - Software Engineer - Firmware,"Irvine, CA",8,7,6,6,"=HYPERLINK(""https://jobs.smartrecruiters.com/WesternDigital/744000110490378?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
72.5,72.0,1,54,Apply Soon,3,The Walt Disney Company,WDI Show Control Software Intern,"Glendale, CA",8,7,6,6,"=HYPERLINK(""https://disney.wd5.myworkdayjobs.com/disneycareerdc/job/Glendale-CA-USA/WDI-Show-Control-Software-Intern--California---Summer-Fall-2026_10143305?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
72.5,72.0,1,54,Apply Soon,3,The Walt Disney Company,WDI Show Control Software Intern,"Glendale, CA",8,7,6,6,"=HYPERLINK(""https://disney.wd5.myworkdayjobs.com/disneycareer/job/Glendale-CA-USA/WDI-Show-Control-Software-Intern--California---Summer-Fall-2026_10143305-2?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
71.5,67.0,3,67,Apply Soon,3,Premier,Software Engineer Intern,"Charlotte, NC",6,7,4,10,"=HYPERLINK(""https://premierinc.wd1.myworkdayjobs.com/external_professional/job/Charlotte-NC/Software-Engineer-Intern_R0008139?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
71.5,67.0,3,67,Apply Soon,3,Schweitzer Engineering Laboratories,Software Engineer Intern,"Moscow, ID",6,7,4,10,"=HYPERLINK(""https://selinc.wd1.myworkdayjobs.com/SEL/job/Washington---Pullman/Software-Engineer-Intern_2026-19777-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
71.5,67.0,3,67,Apply Soon,3,MassMutual Ascend,Data Analytics Intern,"Cincinnati, OH",6,7,4,10,"=HYPERLINK(""https://massmutual.wd1.myworkdayjobs.com/MMAscendCareers/job/Cincinnati-OH/Data-Analytics-Intern---Customer-Experience--Summer-2026-_R19937?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
71.5,67.0,3,67,Apply Soon,3,MassMutual Ascend,Data Management Intern,"Cincinnati, OH",6,7,4,10,"=HYPERLINK(""https://massmutual.wd1.myworkdayjobs.com/MMAscendCareers/job/Cincinnati-OH/Data-Management-Intern--Summer-2026-_R19940?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
71.0,68.0,2,56,Apply Soon,3,Transcarent,Software Engineering Intern,"Seattle, WA",8,7,4,8,"=HYPERLINK(""https://boards.greenhouse.io/transcarent/jobs/5808306004?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-28
70.5,69.0,4,79,Apply This Week,3,BeOne,Data Management Intern,Remote in USA,4,7,8,10,"=HYPERLINK(""https://beigene.wd5.myworkdayjobs.com/beigene/job/Remote-US/Summer-Internship--Data-Management-Intern--Remote-_R33581?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
70.5,69.0,1,51,Apply Soon,3,Waters Corporation,TA Instruments – Software Engineering Intern - Next Generation SW Platform,"New Castle, DE",8,7,4,6,"=HYPERLINK(""https://uscareers-waters.icims.com/jobs/25342/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-23
70.5,69.0,1,51,Apply Soon,3,IXL Learning,Software Engineer – Intern,"San Mateo, CA",8,7,4,6,"=HYPERLINK(""https://www.ixl.com/company/jobs?gh_jid=8430295002&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-20
70.5,69.0,1,57,Apply Soon,3,First American,Software Engineering Intern,"Orange, CA",6,7,4,6,"=HYPERLINK(""https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/Software-Engineering-Intern---REMOTE_R054629?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
70.5,69.0,1,57,Apply Soon,3,Robert Half,Software Engineer Virtual Intern,"San Ramon, CA",6,7,4,6,"=HYPERLINK(""https://roberthalf.wd1.myworkdayjobs.com/roberthalfcareers/job/SAN-RAMON/Software-Engineer-Virtual-Internship_JR-259598?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-19
70.5,69.0,1,51,Apply Soon,3,Arcline,ML / AI Infrastructure Engineering Intern,"San Francisco, CA | Remote in USa",8,7,4,6,"=HYPERLINK(""https://www.eduarcline.us/careers/ml-ai-infrastructure-intern?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-24
70.5,69.0,1,57,Apply Soon,3,Daifuku,Software Engineering Intern,"Salt Lake City, UT | Clearwater, FL",6,7,4,6,"=HYPERLINK(""https://careers-daifuku-america.icims.com/jobs/21070/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-23
70.0,60.5,1,45,Apply Soon,3,Bank of Montreal,Legal and Regulatory Compliance Data Science Intern – Co-op/Internship - Summer 2026 - Chicago,"Chicago, IL",8,4,3,8,"=HYPERLINK(""https://bmo.wd3.myworkdayjobs.com/External/job/Chicago-IL-USA/Legal-and-Regulatory-Compliance-Data-Science-Intern--Co-op-Internship--Summer-2026--Chicago---4-months_R260006687?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
70.0,60.5,1,45,Apply Soon,3,Bank of Montreal,Legal and Regulatory Compliance Data Science Intern – Co-op/Internship - Summer 2026 - Chicago,"Chicago, IL",8,4,3,8,"=HYPERLINK(""https://bmo.wd3.myworkdayjobs.com/Campus/job/Chicago-IL-USA/Legal-and-Regulatory-Compliance-Data-Science-Intern--Co-op-Internship--Summer-2026--Chicago---4-months_R260006687-1?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
70.0,60.5,1,45,Apply Soon,3,Culture Biosciences,Hardware Intern,"San Bruno, CA",8,4,3,8,"=HYPERLINK(""https://culturebiosciences.com/careers?gh_jid=7646424003&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-27
69.5,67.5,3,62,Apply Soon,3,Paccar,AI & Data Analytics Intern,"Burlington, WA",8,7,6,9,"=HYPERLINK(""https://jobs.paccar.com/job/Mount-Vernon-AI-&-Data-Analytics-Intern-WA-98273-9671/1369355733/?ats=successfactors&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
69.5,67.5,3,62,Apply Soon,3,Micron Technology,Intern – Validation Strategy AI/ML,"Boise, ID",8,7,6,9,"=HYPERLINK(""https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---Main-Site/Intern---Validation-Strategy-AI-ML_JR91786?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
69.5,67.5,3,62,Apply Soon,3,RTX,Physics AI Intern,"Hartford, CT",8,7,6,9,"=HYPERLINK(""https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-EAST-HARTFORD-RTRC-K--411-Silver-Ln--RTRC-K/Summer-2026---Physics-AI-Intern--Hybrid-_01827647?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
69.5,67.5,3,62,Apply Soon,3,Taiho Oncology,"Intern, Data Science","Princeton, NJ",8,7,6,9,"=HYPERLINK(""https://jobs.dayforcehcm.com/en-US/taiho/CANDIDATEPORTAL/jobs/4707?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-02
69.5,67.5,3,62,Apply Soon,3,L3Harris Technologies,Software Engineering Intern,"Burlington, MA",8,7,6,9,"=HYPERLINK(""https://jobs.l3harris.com/job/Wilmington-Software-Engineering-Intern-MA-01887/1369365900/?ats=successfactors&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-03
68.5,66.0,4,64,Apply Soon,3,Monarch Money,Software Engineering Intern,Remote in USA,8,7,6,10,"=HYPERLINK(""https://jobs.ashbyhq.com/monarchmoney/b62fbd01-4082-4ddf-9a39-ec0ae1e526ee/application?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-04
68.5,69.5,1,52,Apply Soon,3,Robinhood,"Software Engineering Intern, Android (Summer 2026)","Menlo Park, CA",8,7,6,5,"=HYPERLINK(""https://boards.greenhouse.io/robinhood/jobs/7239199?t=gh_src=&gh_jid=7239199"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Robinhood,"Software Engineering Intern, iOS (Summer 2026)","Menlo Park, CA",8,7,6,5,"=HYPERLINK(""https://boards.greenhouse.io/robinhood/jobs/7239268?t=gh_src=&gh_jid=7239268"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Verkada,Backend Software Engineering Intern 2026,"San Mateo, CA United States",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/verkada/jobs/5026094007"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Verkada,Frontend Software Engineering Intern 2026,"San Mateo, CA United States",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/verkada/jobs/5024322007"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Roblox,[Summer 2026] People Data Scientist Intern,"San Mateo, CA, United States",8,7,6,5,"=HYPERLINK(""https://careers.roblox.com/jobs/7609135?gh_jid=7609135"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Typeface,ML Engineer Intern,"Palo Alto, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/typeface/jobs/4986825007"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Ironclad,Software Engineer Intern,SF | NYC,8,7,6,5,"=HYPERLINK(""https://jobs.ashbyhq.com/ironcladhq/95ae3b0a-a061-4323-926a-7fa308b59387/application?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Booz Allen,University – 2026 Summer Games Software Developer Intern,"11 locationsHonolulu, HI | Annapolis Junction, MD | Colorado Springs, CO | McLean, VA | Rome, NY | Panama City, FL | Charleston, SC | Atlanta, GA | Huntsville, AL | San Diego, CA | El Segundo, CA",8,7,6,5,"=HYPERLINK(""https://bah.wd1.myworkdayjobs.com/Confidential/job/McLean-VA/University--2026-Summer-Games-Software-Developer-Intern_R0225356-1?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Cadence Design Systems,Software Engineer Intern - Compilers,"San Jose, CA",8,7,6,5,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/Univ_Careers/job/SAN-JOSE/Software-Engineer-Intern--Compilers----Summer-2026_R52507?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Verkada,Frontend Software Engineering Intern 2026,"San Mateo, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/verkada/jobs/5024322007?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Verkada,Backend Software Engineer Intern,"San Mateo, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/verkada/jobs/5026094007?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Atomic Semi,Fab Software Engineering Intern - Summer,SF,8,7,6,5,"=HYPERLINK(""https://jobs.ashbyhq.com/atomicsemi/0eaedaf8-25e7-4f35-8a18-7a71a28959d0/application?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Zoox,Technical Program Management Intern - AI Tools Development,"San Mateo, CA",8,7,6,5,"=HYPERLINK(""https://jobs.lever.co/zoox/4770d734-9d08-4eae-abb5-6002495ca147/apply?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Cadence Design Systems,Software Engineer Intern - Compilers,"San Jose, CA",8,7,6,5,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/University_Talent_Intern/job/SAN-JOSE/Software-Engineer-Intern--Compilers----Summer-2026_R52507-2?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Cadence Design Systems,Software Engineer Intern - Compilers,"San Jose, CA",8,7,6,5,"=HYPERLINK(""https://cadence.wd1.myworkdayjobs.com/University_Talent/job/SAN-JOSE/Software-Engineer-Intern--Compilers----Summer-2026_R52507-3?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Masimo,2026 Summer Intern - Software Engineering,"Irvine, CA",8,7,6,5,"=HYPERLINK(""https://egcu.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/3588?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Crusoe,AI Intern – Digital Infrastructure Group - Summer 2026,SF,8,7,6,5,"=HYPERLINK(""https://jobs.ashbyhq.com/Crusoe/1238af1c-d7fd-44b1-9207-2e98c3233975/application?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,TikTok,Data Science Intern - Advertisement Team - 2026 Summer,"San Jose, CA",8,7,6,5,"=HYPERLINK(""https://lifeattiktok.com/search/7598068289244809525?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Booz Allen,University – 2026 Summer Games Data Scientist Intern,"11 locationsHonolulu, HI | Annapolis Junction, MD | Colorado Springs, CO | McLean, VA | Rome, NY | Panama City, FL | Charleston, SC | Atlanta, GA | Huntsville, AL | San Diego, CA | El Segundo, CA",8,7,6,5,"=HYPERLINK(""https://bah.wd1.myworkdayjobs.com/Confidential/job/McLean-VA/University--2026-Summer-Games-Data-Scientist-Intern_R0225534-1?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Samsung,Intern – Firmware Engineer - Pfd,"San Jose, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/samsungsemiconductor/jobs/7605456003?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Pivotal Software,Software Engineer Intern - Software Engineer,"Palo Alto, CA",8,7,6,5,"=HYPERLINK(""https://jobs.lever.co/pivotal/0caba08c-85c4-478a-a6ea-9fbf5b9725c9/apply?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Sandisk,Intern - Firmware Engineer - Physical Storage,"Milpitas, CA",8,7,6,5,"=HYPERLINK(""https://jobs.smartrecruiters.com/Sandisk/744000106151995?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,3,Rocket Lab USA,Flight Software Intern,"Long Beach, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/rocketlab/jobs/7575850003?utm_source=Simplify&ref=Simplify"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Scaleai,Machine Learning Research Intern (Summer 2026),"San Francisco, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/scaleai/jobs/4606060005"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Scaleai,Software Engineering Intern (Summer 2026),"San Francisco, CA",8,7,6,5,"=HYPERLINK(""https://job-boards.greenhouse.io/scaleai/jobs/4606014005"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Stripe,"Software Engineer, Intern (Summer)","San Francisco, Seattle, New York City",8,7,6,5,"=HYPERLINK(""https://stripe.com/jobs/search?gh_jid=7210115"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Nuro,Embedded Software Engineer Intern,"Mountain View, California (HQ)",8,7,6,5,"=HYPERLINK(""https://nuro.ai/careersitem?gh_jid=7532060"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Nuro,"Machine Learning intern, Behavior Planning","Mountain View, California (HQ)",8,7,6,5,"=HYPERLINK(""https://nuro.ai/careersitem?gh_jid=7309261"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Nuro,"Software Engineer, AI Platform - Intern","Mountain View, California (HQ)",8,7,6,5,"=HYPERLINK(""https://nuro.ai/careersitem?gh_jid=7351061"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Nuro,"Software Engineer, ML Infrastructure - Internship","Mountain View, California (HQ)",8,7,6,5,"=HYPERLINK(""https://nuro.ai/careersitem?gh_jid=7366266"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Nuro,"Systems Engineering Intern, Compliance Coverage ML","Mountain View, California (HQ)",8,7,6,5,"=HYPERLINK(""https://nuro.ai/careersitem?gh_jid=7562197"",""Apply"")",
68.5,69.5,1,52,Apply Soon,4,Nuro,Systems Engineering Intern - Compliance Coverage ML,"Mountain View, CA",8,7,6,5,"=HYPERLINK(""https://nuro.ai/careersitem?gh_jid=7562197&utm_source=Simplify&ref=Simplify"",""Apply"")",
68.0,65.0,1,48,Apply Soon,3,Hunt Oil Company,Software Engineer Intern - Summer 2026,"Dallas, TX",8,6,4,6,"=HYPERLINK(""https://fa-eqcd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/891?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-20
68.0,65.0,1,60,Apply Soon,3,First American,Data Engineering Intern,"Orange, CA",4,6,4,6,"=HYPERLINK(""https://firstam.wd1.myworkdayjobs.com/firstamericancareers/job/USA-California-Santa-Ana/Data-Engineering-Intern---REMOTE_R054683?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-21
68.0,72.5,1,53,Apply Soon,3,Ensora Health,AI/ML Intern - Generative AI & Intelligent Systems,"Orlando, FL",8,8,7,4,"=HYPERLINK(""https://therapybrands.wd1.myworkdayjobs.com/EnsoraHealth/job/Remote---Florida/AI-ML-Intern---Generative-AI---Intelligent-Systems_R448?utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-16
67.5,64.5,3,64,Apply Soon,3,Concord,AI Data Cataloging Intern,"Nashville, TN",6,7,4,9,"=HYPERLINK(""https://careers-concord.icims.com/jobs/2030/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-03-02
67.0,71.0,1,55,Apply Soon,3,Werfen,Intern – Software Engineering,"San Diego, CA",7,8,6,4,"=HYPERLINK(""https://careers-werfen.icims.com/jobs/9949/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify"",""Apply"")",2026-02-18
